title,author,Practices,method,link,Disciplines,journal,medium,keywords,location,Relevance,Impact Scale (0-10),Notes
Ethics of Artificial Intelligence in Radiology: Summary of the Joint European and North American Multisociety Statement,"Geis, J. Raymond; Brady, Adrian P.; Wu, Carol C.; Spencer, Jack; Ranschaert, Erik; Jaremko, Jacob L.; Langer, Steve G.; Kitts, Andrea Borondy; Birch, Judy; Shields, William F.; van Genderen, Robert van den Hoven; Kotter, Elmar; Gichoya, Judy Wawira; Cook, Tessa S.; Morgan, Matthew B.; Tang, An; Safdar, Nabile M.; Kohli, Marc",,,,,RADIOLOGY,article,,,,,
HCI for health and wellbeing: Challenges and opportunities,"Blandford, Ann",,,,,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,article,Digital health; Medical devices; Health IT; Patient empowerment; Patient safety; Human factors; Complex adaptive systems,,,,
SERIES: eHealth in primary care. Part 2: Exploring the ethical implications of its application in primary care practice,"Boers, Sarah N.; Jongsma, Karin R.; Lucivero, Federica; Aardoom, Jiska; Buchner, Frederike L.; de Vries, Martine; Honkoop, Persijn; Houwink, Elisa J. F.; Kasteleyn, Marise J.; Meijer, Eline; Pinnock, Hilary; Teichert, Martina; van der Boog, Paul; van Luenen, Sanne; van der Kleij, Rianne M. J. J.; Chavannes, Niels H.",,,,,EUROPEAN JOURNAL OF GENERAL PRACTICE,article,eHealth; digital health; primary care; ethics; doctor-patient relationship,,,,
"Trust Me, I'm a Chatbot: How Artificial Intelligence in Health Care Fails the Turing Test","Powell, John",,,,,JOURNAL OF MEDICAL INTERNET RESEARCH,article,artificial intelligence; machine learning; medical informatics; digital health; ehealth; chatbots; conversational agents,,,,
Teaching robots social autonomy from in situ human guidance,"Senft, Emmanuel; Lemaignan, Severin; Baxter, Paul E.; Bartlett, Madeleine; Belpaeme, Tony",,,,,SCIENCE ROBOTICS,article,,,,,
Quarantining online hate speech: technical and ethical perspectives,"Ullmann, Stefanie; Tomalin, Marcus",,,,,ETHICS AND INFORMATION TECHNOLOGY,article,Hate speech; Social media; Ethical AI; Quarantining; Freedom of expression,,,,
On social machines for algorithmic regulation,"Cristianini, Nello; Scantamburlo, Teresa",,,,,AI & SOCIETY,article,Algorithmic regulation; Social machines; Autonomous agents; Artificial intelligence; Social scoring; Autonomy; Democracy,,,,
"An Essay on Narrative, Reality, and Imagination","Bristol, R. Curtis",,,,,PSYCHOANALYTIC INQUIRY,article,,,,,
Perception of the Progressing Digitization and Transformation of the German Health Care System Among Experts and the Public: Mixed Methods Study,"Hansen, Arne; Herrmann, Maximilian; Ehlers, Jan P.; Mondritzki, Thomas; Hensel, Kai Oliver; Truebel, Hubert; Boehme, Philip",,,,,JMIR PUBLIC HEALTH AND SURVEILLANCE,article,digitization; health care sector; transformation; mixed method; delivery of health care; diffusion of innovation; reform,,,,
"Re-thinking Digital Health: Data, Appisation and the (im)possibility of 'Opting out'","Kuntsman, Adi; Miyake, Esperanza; Martin, Sam",,,,,DIGITAL HEALTH,article,Health apps; datafication; data justice; GDPR; trust; opting out; data sharing; privacy; surveillance capitalism; biopolitics,,,,
Reading The Minds of Those Who Never Lived. Enhanced Beings: The Social and Ethical Challenges Posed by Super Intelligent AI and Reasonably Intelligent Humans,"Harris, John",,,,,CAMBRIDGE QUARTERLY OF HEALTHCARE ETHICS,article,,,,,
The intelligent library Thought leaders' views on the likely impact of artificial intelligence on academic libraries,"Cox, Andrew M.; Pinfield, Stephen; Rutter, Sophie",,,,,LIBRARY HI TECH,article,Academic libraries; University libraries; Data mining; Artificial intelligence; Librarians; Machine learning,,,,
"Big data visualisation, geographic information systems and decision making in healthcare management","Chinnaswamy, Anitha; Papa, Armando; Dezi, Luca; Mattiacci, Alberto",,,,,MANAGEMENT DECISION,article,Big data; Knowledge management; Decision making; Smart city; Healthcare management,,,,
Robotic assisted design workflows: a study of key human factors influencing team fluency in human-robot collaborative design processes,"Vazquez, Alicia Nahmad; Jabi, Wassim",,,,,ARCHITECTURAL SCIENCE REVIEW,article,Machine learning; digital design; human-robot interaction; human-robot team; fluency,,,,
Caveat emptor': the cautionary tale of endocarditis and the potential pitfalls of clinical coding data-an electronic health records study,"Fawcett, Nicola; Young, Bernadette; Peto, Leon; Quan, T. Phuong; Gillott, Richard; Wu, Jianhua; Middlemass, Chris; Weston, Sheila; Crook, Derrick W.; Peto, Tim E. A.; Muller-Pebody, Berit; Johnson, Alan P.; Walker, A. Sarah; Sandoe, Jonathan A. T.",,,,,BMC MEDICINE,article,Electronic health records; Coding; Big data; Endocarditis; ICD-10,,,,
Delivering a Practical Framework for Ethical Decision-Making Involving Big Data in Health and Research,"Laurie, Graeme T.; Tai, E. Shyong",,,,,ASIAN BIOETHICS REVIEW,article,,,,,
An Ethics Framework for Big Data in Health and Research,"Xafis, Vicki; Schaefer, G. Owen; Labude, Markus K.; Brassington, Iain; Ballantyne, Angela; Lim, Hannah Yeefen; Lipworth, Wendy; Lysaght, Tamra; Stewart, Cameron; Sun, Shirley; Laurie, Graeme T.; Tai, E. Shyong",,,,,ASIAN BIOETHICS REVIEW,article,Ethics framework; Health and research; Open sharing; Data repositories; Precision medicine; Real-world evidence; Artificial intelligence; Public-private partnership; Cross-sectorial data,,,,
Cross-Sectoral Big Data: The Application of an Ethics Framework for Big Data in Health and Research,"Laurie, Graeme T.",,,,,ASIAN BIOETHICS REVIEW,article,Big data; Cross-sectoral; Smart cities; Data linkage; Big data ethics,,,,
Deciding on Appropriate Use of Force: Human-machine Interaction in Weapons Systems and Emerging Norms,"Huelss, Hendrik",,,,,GLOBAL POLICY,article,,,,,
FACT and FAIR with Big Data allows objectivity in science: The view of crystallography,"Helliwell, John R.",,,,,STRUCTURAL DYNAMICS-US,article,,,,,
THE SOCIOTECHNICAL AXIS OF COHESION FOR THE IS DISCIPLINE: ITS HISTORICAL LEGACY AND ITS CONTINUED RELEVANCE,"Sarker, Suprateek; Chatterjee, Sutirtha; Xiao, Xiao; Elbanna, Amany",,,,,MIS QUARTERLY,article,IS discipline; foundations; sociotechnical perspective; IT artifact; instrumental goals; humanistic goals; ethics,,,,
The Rhetoric and Reality of Anthropomorphism in Artificial Intelligence,"Watson, David",,,,,MINDS AND MACHINES,article,Artificial intelligence; Machine learning; Epistemology; Social epistemology; Cognitive science; Digital ethics,,,,
Can Machines Read our Minds?,"Burr, Christopher; Cristianini, Nello",,,,,MINDS AND MACHINES,article,Machine learning; Inference; Psychometrics; Digital footprints; Social media; Intelligent systems,,,,
Artificial Intelligence and Music: Open Questions of Copyright Law and Engineering Praxis,"Sturm, Bob L. T.; Iglesias, Maria; Ben-Tal, Oded; Miron, Marius; Gomez, Emilia",,,,,ARTS,article,artificial intelligence; music; copyright; engineering; ethics,,,,
Supervised Learning Methods in Classifying Organized Behavior in Tweet Collections,"Begenilmis, Erdem; Uskudarli, Susan",,,,,INTERNATIONAL JOURNAL ON ARTIFICIAL INTELLIGENCE TOOLS,article,Organized behavior detection; supervised learning; social media analysis; big data; Twitter; political propaganda,,,,
Being Human in the Days/Daze of Big Data Irresponsible Design is Responsible for Diminishing Humanity,"Pitt, Jeremy",,,,,IEEE TECHNOLOGY AND SOCIETY MAGAZINE,article,,,,,
"AI, agency and responsibility: the VW fraud case and beyond","Johnson, Deborah G.; Verdicchio, Mario",,,,,AI & SOCIETY,article,Agency; Artificial intelligence; Autonomy; Ethics; Future; Technology,,,,
"The Biometric Assemblage: Surveillance, Experimentation, Profit, and the Measuring of Refugee Bodies","Madianou, Mirca",,,,,TELEVISION & NEW MEDIA,article,biometrics; artificial intelligence; blockchain; refugees; humanitarian organizations; technological convergence,,,,
Mapping the public debate on ethical concerns: algorithms in mainstream media,"Barn, Balbir S.",,,,,JOURNAL OF INFORMATION COMMUNICATION & ETHICS IN SOCIETY,article,Ethics; Governance; Bias; Algorithms; Artificial intelligence; Machine learning,,,,
Resisting big data exploitations in public healthcare: Free riding or distributive justice?,"Vezyridis, Paraskevas; Timmons, Stephen",,,,,SOCIOLOGY OF HEALTH & ILLNESS,article,NHS; care; data; Informed consent; Big data; General practice; Medical records,,,,
"Blockchain applications in supply chains, transport and logistics: a systematic review of the literature","Pournader, Mehrdokht; Shi, Yangyan; Seuring, Stefan; Koh, S. C. Lenny",,,,,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,article,blockchain; supply chain; logistics; transport; systematic review,,,,
Social Media Surveillance of Multiple Sclerosis Medications Used During Pregnancy and Breastfeeding: Content Analysis,"Rezaallah, Bita; Lewis, David John; Pierce, Carrie; Zeilhofer, Hans-Florian; Berg, Britt-Isabelle",,,,,JOURNAL OF MEDICAL INTERNET RESEARCH,article,pharmacovigilance; machine learning; pregnancy outcome; postpartum; central nervous system agents; risk assessment; text mining,,,,
Phase 3 diagnostic evaluation of a smart tablet serious game to identify autism in 760 children 3-5 years old in Sweden and the United Kingdom,"Millar, Lindsay; McConnachie, Alex; Minnis, Helen; Wilson, Philip; Thompson, Lucy; Anzulewicz, Anna; Sobota, Krzysztof; Rowe, Philip; Gillberg, Christopher; Delafield-Butt, Jonathan",,,,,BMJ OPEN,article,,,,,
Predicting asthma attacks in primary care: protocol for developing a machine learning-based prediction model,"Tibble, Holly; Tsanas, Athanasios; Horne, Elsie; Horne, Robert; Mizani, Mehrdad; Simpson, Colin R.; Sheikh, Aziz",,,,,BMJ OPEN,article,,,,,
Acceptability of artificial intelligence (AI)-led chatbot services in healthcare: A mixed-methods study,"Nadarzynski, Tom; Miles, Oliver; Cowie, Aimee; Ridge, Damien",,,,,DIGITAL HEALTH,article,Acceptability; AI; Artificial Intelligence; bot; chatbot,,,,
Principles for responsible management education in 2068,"Henderson, Lionel Huntley; Wersun, Alec; Wilson, John; Yeung, Shirley Mo-ching; Zhang, Kejing",,,,,FUTURES,article,Futures studies; Strategic conversations; PRME; Management education; Sustainability; Corporate social responsibility,,,,
Robotics and labour in agriculture. A context consideration,"Marinoudi, Vasso; Sorensen, Claus G.; Pearson, Simon; Bochtis, Dionysis",,,,,BIOSYSTEMS ENGINEERING,article,labour-machine substitution; labour-machine complementarity; workforce in agriculture,,,,
Enabling Global Clinical Collaborations on Identifiable Patient Data: The Minerva Initiative,"Nellaker, Christoffer; Alkuraya, Fowzan S.; Baynam, Gareth; Bernier, Raphael A.; Bernier, Francois P. J.; Boulangerw, Vanessa; Brudno, Michael; Brunner, Han G.; Clayton-Smith, Jill; Cogne, Benjamin; Dawkins, Hugh J. S.; deVries, Bert B. A.; Douzgou, Sofia; Dudding-Byth, Tracy; Eichler, Evan E.; Ferlaino, Michael; Fieggen, Karen; Firth, Helen, V; FitzPatrick, David R.; Gration, Dylan; Groza, Tudor; Haende, Melissa; Hallowel, Nina; Hamosh, Ada; Hehir-Kwa, Jayne; Hitz, Marc-Phillip; Hughes, Mark; Kini, Usha; Kleefstra, Tjitske; Kooy, R. Frank; Krawitz, Peter; Kury, Sebastien; Lees, Melissa; Lyon, Gholson J.; Lyonnet, Stanislas; Marcadier, Julien L.; Meyn, Stephen; Moslerova, Veronika; Politei, Juan M.; Poulton, Cathryn C.; Raymond, F. Lucy; Reijnders, Margot R. F.; Robinson, Peter N.; Romano, Corrado; Rose, Catherine M.; Sainsbury, David C. G.; Schofield, Lyn; Sutton, Vernon R.; Tumovec, Marek; Van Dijck, Anke; Van Esch, Hilde; Witkie, Andrew O. M.",,,,,FRONTIERS IN GENETICS,article,data sharing; phenotyping; patient information; data protection; rare disease; Faces,,,,
Beyond the hype of big data and artificial intelligence: building foundations for knowledge and wisdom,"Car, Josip; Sheikh, Aziz; Wicks, Paul; Williams, Marc S.",,,,,BMC MEDICINE,article,Big data; Electronic health records; Artificial intelligence; Internet of things; Digital health; Genomics; Data sharing; Data privacy; Ethics,,,,
Integrating Artificial and Human Intelligence: A Partnership for Responsible Innovation in Biomedical Engineering and Medicine,"Dzobo, Kevin; Adotey, Sampson; Thomford, Nicholas E.; Dzobo, Witness",,,,,OMICS-A JOURNAL OF INTEGRATIVE BIOLOGY,article,artificial intelligence; neural networks; deep learning; health care innovation; biomedical engineering; automation,,,,
Sexbots: a case for artificial ethical agents,"Headleand, Christopher James; Teahan, William J.; ap Cenydd, Llyr",,,,,CONNECTION SCIENCE,article,Sexbots; artificial sexuality; artificial ethical agent; AEA; moral agency,,,,
"Policy networks, performance metrics and platform markets: Charting the expanding data infrastructure of higher education","Williamson, Ben",,,,,BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,article,,,,,
An instrument to evaluate the maturity of bias governance capability in artificial intelligence projects,"Coates, D. L.; Martin, A.",,,,,IBM JOURNAL OF RESEARCH AND DEVELOPMENT,article,,,,,
Engaging with ethics in Internet of Things: Imaginaries in the social milieu of technology developers,"Ustek-Spilda, Funda; Powell, Alison; Nemorin, Selena",,,,,BIG DATA & SOCIETY,article,Internet of Things; social milieu; ethics; virtue ethics; responsible technology,,,,
SEEN: A Selective Encryption Method to Ensure Confidentiality for Big Sensing Data Streams,"Puthal, Deepak; Wu, Xindong; Surya, Nepal; Ranjan, Rajiv; Chen, Jinjun",,,,,IEEE TRANSACTIONS ON BIG DATA,article,Big data stream; selective encryption; data confidentiality; data integrity; data security,,,,
Leveraging the Internet of Things and Blockchain Technology in Supply Chain Management,"Rejeb, Abderahman; Keogh, John G.; Treiblmaier, Horst",,,,,FUTURE INTERNET,article,Blockchain; Internet of Things; supply chain; transparency; value chain,,,,
Pragmatic neuroscience for clinical psychiatry,"Steele, J. Douglas; Paulus, Martin P.",,,,,BRITISH JOURNAL OF PSYCHIATRY,article,Pragmatic psychiatry; machine learning; education and training,,,,
Seven HCI Grand Challenges,"Stephanidis, Constantine; Salvendy, Gavriel; Antona, Margherita; Chen, Jessie Y. C.; Dong, Jianming; Duffy, Vincent G.; Fang, Xiaowen; Fidopiastis, Cali; Fragomeni, Gino; Fu, Limin Paul; Guo, Yinni; Harris, Don; Ioannou, Andri; Jeong, Kyeong-ah (Kate); Konomi, Shin'ichi; Kroemker, Heidi; Kurosu, Masaaki; Lewis, James R.; Marcus, Aaron; Meiselwitz, Gabriele; Moallem, Abbas; Mori, Hirohiko; Nah, Fiona Fui-Hoon; Ntoa, Stavroula; Rau, Pei-Luen Patrick; Schmorrow, Dylan; Siau, Keng; Streitz, Norbert; Wang, Wentao; Yamamoto, Sakae; Zaphiris, Panayiotis; Zhou, Jia",,,,,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,article,,,,,
"Fundus image quality assessment: survey, challenges, and future scope","Raj, Aditya; Tiwari, Anil Kumar; Martini, Maria G.",,,,,IET IMAGE PROCESSING,article,learning (artificial intelligence); biomedical optical imaging; diseases; image segmentation; medical image processing; eye; photography; fundus image quality assessment; fundus photography; fundus image acquisition; fundus IQA algorithms,,,,
A question of trust: can we build an evidence base to gain trust in systematic review automation technologies?,"O'Connor, Annette M.; Tsafnat, Guy; Thomas, James; Glasziou, Paul; Gilbert, Stephen B.; Hutton, Brian",,,,,SYSTEMATIC REVIEWS,article,Artificial intelligence; Automation; Data extraction; Machine learning; Screening,,,,
Blockchain technology: implications for operations and supply chain management,"Cole, Rosanna; Stevenson, Mark; Aitken, James",,,,,SUPPLY CHAIN MANAGEMENT-AN INTERNATIONAL JOURNAL,article,Technology; Operations management; Supply chain management; SCM practices,,,,
Artificial intelligence in healthcare: a critical analysis of the legal and ethical implications,"Schonberger, Daniel",,,,,INTERNATIONAL JOURNAL OF LAW AND INFORMATION TECHNOLOGY,article,Artificial intelligence; medical law and ethics; fairness; data protection; autonomy; accountability; negligence; liability; product liability,,,,
"Public administration, public leadership and the construction of public value in the age of the algorithm and ""big data'","Andrews, Leighton",,,,,PUBLIC ADMINISTRATION,article,,,,,
"Innovation-Proof Global Governance for Military Artificial Intelligence? How I Learned to Stop Worrying, and Love the Bot","Maas, Matthijs M.",,,,,JOURNAL OF INTERNATIONAL HUMANITARIAN LEGAL STUDIES,article,artificial intelligence; AI; military; innovation; technology governance; preventative security governance; international humanitarian law; Collingridge Dilemma,,,,
First Steps Towards an Ethics of Robots and Artificial Intelligence,"Tasioulas, John",,,,,JOURNAL OF PRACTICAL ETHICS,article,,,,,
A text analytics approach for online retailing service improvement: Evidence from Twitter,"Ibrahim, Noor Farizah; Wang, Xiaojun",,,,,DECISION SUPPORT SYSTEMS,article,Online retailing; Social media research; Text analytics; Topic modelling; Sentiment analysis,,,,
Three Ethical Challenges of Applications of Artificial Intelligence in Cybersecurity,"Taddeo, Mariarosaria",,,,,MINDS AND MACHINES,article,,,,,
Artificial intelligence can improve decision-making in infection management,"Rawson, Timothy M.; Ahmad, Raheelah; Toumazou, Christofer; Georgiou, Pantelis; Holmes, Alison H.",,,,,NATURE HUMAN BEHAVIOUR,article,,,,,
Protocol for a conversation-based analysis study: PREVENT-ED investigates dialogue features that may help predict dementia onset in later life,"Garcia, Sofia de la Fuente; Ritchie, Craig W.; Luz, Saturnino",,,,,BMJ OPEN,article,,,,,
"Legal, regulatory and ethical frameworks or standards for AI and autonomous robotic surgery","Sajid, M., I; O'Sullivan, S.; Nevejans, N.; Allen, C.; Blyth, A.; Leonard, S.; Pagallo, U.; Holzinger, K.; Holzinger, A.; Ashrafian, H.",,,,,BJOG-AN INTERNATIONAL JOURNAL OF OBSTETRICS AND GYNAECOLOGY,article,,,,,
Real-World Evidence in Healthcare Decision Making: Global Trends and Case Studies From Latin America,"Justo, Nahila; Espinoza, Manuel A.; Ratto, Barbara; Nicholson, Martha; Rosselli, Diego; Ovcinnikova, Olga; Marti, Sebastian Garcia; Ferraz, Marcos B.; Langsam, Martin; Drummond, Michael F.",,,,,VALUE IN HEALTH,article,big data; epidemiology; health policy; health technology assessment; Latin America; real-world evidence,,,,
Evaluation protocol of the implementation of a learning healthcare system in clinical practice: the Connected Health Cities programme in the north of England,"Steels, Stephanie; van Staa, Tjeerd",,,,,BMJ OPEN,article,,,,,
Artificial Intelligence: Power to the People,"Roff, Heather M.",,,,,ETHICS & INTERNATIONAL AFFAIRS,article,artificial intelligence; machine learning; autonomy; automation; epistemology; ethics,,,,
The effect of fractional inspired oxygen concentration on early warning score performance: A database analysis,"Malycha, James; Farajidavar, Nazli; Pimentel, Marco A. F.; Redfern, Oliver; Clifton, David A.; Tarassenko, Lionel; Meredith, Paul; Prytherch, David; Ludbrook, Guy; Young, J. Duncan; Watkinson, Peter J.",,,,,RESUSCITATION,article,Critical care; Intensive care; Early warning scores; Fractional inspired oxygen; Predictive scores; Machine learning; Decision trees,,,,
The Changing Role of the Genetic Counsellor in the Genomics Era,"Kohut, Kelly; Limb, Sharne; Crawford, Gillian",,,,,CURRENT GENETIC MEDICINE REPORTS,article,Genetic counsellor; Genetic counselling; Genomics; Personalised medicine; Family communication,,,,
Statement on bioinformatics and capturing the benefits of genome sequencing for society,"Capps, Benjamin; Chadwick, Ruth; Joly, Yann; Lysaght, Tamra; Mills, Catherine; Mulvihill, John J.; Zwart, Hub",,,,,HUMAN GENOMICS,article,Human Genome Organisation; Genomics; Solidarity; The public good; Benefit sharing; Bioinformatics,,,,
A New SLC10A7 Homozygous Missense Mutation Responsible for a Milder Phenotype of Skeletal Dysplasia With Amelogenesis Imperfecta,"Laugel-Haushalter, Virginie; Bar, Severine; Schaefer, Elise; Stoetzel, Corinne; Geoffroy, Veronique; Alembil, Yves; Kharouf, Naji; Huckert, Mathilde; Hamm, Pauline; Hemmerle, Joseph; Maniere, Marie-Cecile; Friant, Sylvie; Dollfus, Helene; Bloch-Zupan, Agnes",,,,,FRONTIERS IN GENETICS,article,skeletal dysplasia; amelogenesis imperfecta; NGS (next generation sequencing); human; rare diseases,,,,
"The frame problem: The AI ""arms race"" isn't one","Roff, Heather M.",,,,,BULLETIN OF THE ATOMIC SCIENTISTS,article,Arms race; artificial intelligence; definitions; risk; responsible innovation,,,,
"AI cheerleaders: Public relations, neoliberalism and artificial intelligence","Bourne, Clea",,,,,PUBLIC RELATIONS INQUIRY,article,Artificial intelligence; discourse; ethics; neoliberalism; public relations; voice,,,,
Anniversary article: Then and now: 25 years of progress in natural language engineering,"Tait, John; Wilks, Yorick",,,,,NATURAL LANGUAGE ENGINEERING,article,Information extraction; Machine learning; Machine translation; Parsing; Statistical methods,,,,
Toward a Posthumanist Ethics of Qualitative Research in a Big Data Era,"Mauthner, Natasha S.",,,,,AMERICAN BEHAVIORAL SCIENTIST,article,Big Data; humanism; posthumanism; ethics; qualitative research,,,,
The present and future of deep learning in radiology,"Saba, Luca; Biswas, Mainak; Kuppili, Venkatanareshbabu; Godia, Elisa Cuadrado; Suri, Harman S.; Edla, Damodar Reddy; Omerzu, Tomaz; Laird, John R.; Khanna, Narendra N.; Mavrogeni, Sophie; Protogerou, Athanasios; Sfikakis, Petros P.; Viswanathan, Vijay; Kitas, George D.; Nicolaides, Andrew; Gupta, Ajay; Suri, Jasjit S.",,,,,EUROPEAN JOURNAL OF RADIOLOGY,article,Deep learning; Machine learning; Medical imaging; Radiology,,,,
"Delayed Disclosure': National Security, Whistle-Blowers and the Nature of Secrecy","Aldrich, Richard J.; Moran, Christopher R.",,,,,POLITICAL STUDIES,article,intelligence; Internet; privacy; secrecy; whistle-blowers,,,,
Rigor and Ethics in the World of Big-team Qualitative Data: Experiences From Research in International Development,"Camfield, Laura",,,,,AMERICAN BEHAVIORAL SCIENTIST,article,secondary qualitative data analysis; computer assisted data analysis; ethics; quality; rigor,,,,
Big Data from the South(s): Beyond Data Universalism,"Milan, Stefania; Trere, Emiliano",,,,,TELEVISION & NEW MEDIA,article,datafication; global South; data universalism; agency; decolonial theory; data imaginaries; epistemic justice,,,,
Machine learning in whole-body MRI: experiences and challenges from an applied study using multicentre data,"Lavdas, I; Glocker, B.; Rueckert, D.; Taylor, S. A.; Aboagye, E. O.; Rockall, A. G.",,,,,CLINICAL RADIOLOGY,article,,,,,
From social brains to social robots: applying neurocognitive insights to human-robot interaction,"Cross, Emily S.; Hortensius, Ruud; Wykowska, Agnieszka",,,,,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,article,social robotics; robotics; artificial intelligence; social neuroscience; ethics; human-brain,,,,
Responsible Data Governance of Neuroscience Big Data,"Fothergill, B. Tyr; Knight, William; Stahl, Bernd Carsten; Ulnicane, Inge",,,,,FRONTIERS IN NEUROINFORMATICS,article,data governance; human brain project; ethics; neuroscience; big data; RRI,,,,
Are the dead taking over Facebook? A Big Data approach to the future of death online,"Ohman, Carl J.; Watson, David",,,,,BIG DATA & SOCIETY,article,Death online; digital afterlife; mortality; ethics; digital preservation; Facebook,,,,
Patienthood and participation in the digital era,"Erikainen, Sonja; Pickersgill, Martyn; Cunningham-Burley, Sarah; Chan, Sarah",,,,,DIGITAL HEALTH,article,Patienthood; participation; health consumerism; digital media; social media; big data,,,,
The Security of Big Data in Fog-Enabled IoT Applications Including Blockchain: A Survey,"Tariq, Noshina; Asim, Muhammad; Al-Obeidat, Feras; Zubair Farooqi, Muhammad; Baker, Thar; Hammoudeh, Mohammad; Ghafir, Ibrahim",,,,,SENSORS,article,security; big data; Internet of Things; fog computing; edge computing; blockchain,,,,
Hospital productivity: The role of efficiency drivers,"Ali, Manhal; Salehnejad, Reza; Mansur, Mohaimen",,,,,INTERNATIONAL JOURNAL OF HEALTH PLANNING AND MANAGEMENT,article,efficiency measures; hospital productivity; machine learning; panel data; unbiased regression tree,,,,
Big data analytics and organizational culture as complements to swift trust and collaborative performance in the humanitarian supply chain,"Dubey, Rameshwar; Gunasekaran, Angappa; Child, Stephen J.; Roubaud, David; Wamba, Samuel Fosso; Giannakis, Mihalis; Foropon, Cyril",,,,,INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,article,Visibility; Big data and predictive analytics; Trust; Collaborative performance; Organizational culture; Multi-level confirmatory factor analysis,,,,
Re-engaging disengaged pupils in physical education: an appreciative inquiry perspective,"Gray, Shirley; Treacy, Jennifer; Hall, Edward T.",,,,,SPORT EDUCATION AND SOCIETY,article,Appreciative inquiry; physical education; pedagogy; success; trust,,,,
Information systems ethics - challenges and opportunities,"Rogerson, Simon; Miller, Keith W.; Winter, Jenifer Sunrise; Larson, David",,,,,JOURNAL OF INFORMATION COMMUNICATION & ETHICS IN SOCIETY,article,Information systems; Ethics; Professional practice; Body of knowledge; System failure,,,,
Identifying genes associated with invasive disease in S. pneumoniae by applying a machine learning approach to whole genome sequence typing data,"Obolski, Uri; Gori, Andrea; Lourenco, Jose; Thompson, Craig; Thompson, Robin; French, Neil; Heyderman, Robert S.; Gupta, Sunetra",,,,,SCIENTIFIC REPORTS,article,,,,,
Can Your Phone Be Your Therapist? Young People's Ethical Perspectives on the Use of Fully Automated Conversational Agents (Chatbots) in Mental Health Support,"Kretzschmar, Kira; Tyroll, Holly; Pavarini, Gabriela; Manzini, Arianna; Singh, Ilina; Sharudin, Aysha; Pavlov, Boris; Davis, Charlie; Mooney, Daniel; Kibble, Eleyna; Tuckwell, George; Lewis, Grace; Heelas, Jasmine; Dixon, James; Bransby-Meehan, Jessica; Katz, Jessica; Seeney, Laura; Lee, Angela; Allegri, Martino; Beard, Maud; Aithani, Nav; Lumbis, Nellie; Walker, Niahm; Macfarlane, Poppy; Bonnett, Samantha; Martin, Sophie; Speakman, Sophie",,,,,BIOMEDICAL INFORMATICS INSIGHTS,article,Chatbots; apps; therapy; mental health; artificial intelligence; human-computer interaction; conversational agent; young people; digital mental health; youth mental health,,,,
Deep Confidence: A Computationally Efficient Framework for Calculating Reliable Prediction Errors for Deep Neural Networks,"Cortes-Ciriano, Isidro; Bender, Andreas",,,,,JOURNAL OF CHEMICAL INFORMATION AND MODELING,article,,,,,
Artificial Intelligence in Politics Establishing Ethics,"Kane, Thomas B.",,,,,IEEE TECHNOLOGY AND SOCIETY MAGAZINE,article,,,,,
Machine Ethics: The Design and Governance of Ethical AI and Autonomous Systems,"Winfield, Alan F.; Michael, Katina; Pitt, Jeremy; Evers, Vanessa",,,,,PROCEEDINGS OF THE IEEE,article,,,,,
Introduction: Thinking with Algorithms: Cognition and Computation in the Work of N. Katherine Hayles,"Amoore, Louise",,,,,THEORY CULTURE & SOCIETY,article,algorithms; cognition; computation; ethics; technology,,,,
"Humor, Ethics, and Dignity: Being Human in the Age of Artificial Intelligence","Kanuck, Sean",,,,,ETHICS & INTERNATIONAL AFFAIRS,article,humor; ethics; dignity; human rights; artificial intelligence; Philippa Foot; law; philosophy; driverless cars; lethal autonomous weapons,,,,
A Reinforcement Learning-Based Trust Model for Cluster Size Adjustment Scheme in Distributed Cognitive Radio Networks,"Ling, Mee Hong; Yaug, Kok-Lim Alvin; Qadir, Junaid; Ni, Qiang",,,,,IEEE TRANSACTIONS ON COGNITIVE COMMUNICATIONS AND NETWORKING,article,Cognitive radio ad hoc networks; clustering methods; trust management; artificial intelligence; security,,,,
THE ATHENIAN ALTAR AND THE AMAZONIAN CHATBOT: A PAULINE READING OF ARTIFICIAL INTELLIGENCE AND APOCALYPTIC ENDS,"Morelli, Michael",,,,,ZYGON,article,artificial intelligence; cosmology; divinity; eschatology; ethics; religion; technology; teleology; theology; worldview,,,,
Rethinking the I-You relation through dialogical philosophy in the Ethics of AI and robotics,"Richardson, Kathleen",,,,,AI & SOCIETY,article,,,,,
I in an other's eye,"Dix, Alan",,,,,AI & SOCIETY,article,Consciousness; Self; Theory of mind; Artificial intelligence; Evolutionary psychology; Child development; Robotics; Ethics; Buber,,,,
The human relationship in the ethics of robotics: a call to Martin Buber's I and Thou,"Richardson, Kathleen",,,,,AI & SOCIETY,article,Dialogical phenomenology; Human-robot interaction; Human relationship; Feral children; Attachment theory; Ethics of care; Gendered attachment,,,,
